Timestamp           	X_status            	X                   	Y_status            	Y                   	Z_status            	Z                   	Theta_status        	Theta               	Phi_status          	Phi                 	Omega               	ManipLimitCheck     	ManipSES            	ARPES_Slit          
10/03/2023 00:32:10 	ERROR               	-0.39912            	ERROR               	0.0017488           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:33:11 	ERROR               	-0.39912            	ERROR               	0.0017244           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:34:11 	ERROR               	-0.39912            	ERROR               	0.0016268           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:35:11 	ERROR               	-0.39912            	ERROR               	0.0015292           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:36:11 	ERROR               	-0.3991688          	ERROR               	0.0016756           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:37:11 	ERROR               	-0.39912            	ERROR               	0.0019684           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:38:11 	ERROR               	-0.39912            	ERROR               	0.0012852           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:39:11 	ERROR               	-0.3990956          	ERROR               	0.0015536           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:40:11 	ERROR               	-0.39912            	ERROR               	0.0018464           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:41:11 	ERROR               	-0.39912            	ERROR               	0.0017732           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:42:11 	ERROR               	-0.39912            	ERROR               	0.0017976           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:43:11 	ERROR               	-0.39912            	ERROR               	0.0017488           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:44:11 	ERROR               	-0.39912            	ERROR               	0.0020172           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:45:11 	ERROR               	-0.39912            	ERROR               	0.0017244           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:46:11 	ERROR               	-0.39912            	ERROR               	0.0017488           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:47:11 	ERROR               	-0.39912            	ERROR               	0.0018952           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:48:11 	ERROR               	-0.39912            	ERROR               	0.0017244           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:49:11 	ERROR               	-0.39912            	ERROR               	0.0017244           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:50:11 	ERROR               	-0.39912            	ERROR               	0.0018464           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:51:11 	ERROR               	-0.39912            	ERROR               	0.0019196           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:52:11 	ERROR               	-0.39912            	ERROR               	0.0017976           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:53:12 	ERROR               	-0.39912            	ERROR               	0.001822            	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:54:12 	ERROR               	-0.39912            	ERROR               	0.001822            	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:55:12 	ERROR               	-0.39912            	ERROR               	0.0017976           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:56:12 	ERROR               	-0.39912            	ERROR               	0.0017732           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:57:12 	ERROR               	-0.39912            	ERROR               	0.0019684           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:58:12 	ERROR               	-0.39912            	ERROR               	0.0016268           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 00:59:12 	ERROR               	-0.39912            	ERROR               	0.0017244           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 01:00:12 	ERROR               	-0.3990956          	ERROR               	0.001822            	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 01:01:12 	ERROR               	-0.39912            	ERROR               	0.0017732           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 01:02:12 	ERROR               	-0.39912            	ERROR               	0.001822            	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 01:03:12 	ERROR               	-0.39912            	ERROR               	0.0018708           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 01:04:12 	ERROR               	-0.39912            	ERROR               	0.0018708           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 01:05:12 	ERROR               	-0.39912            	ERROR               	0.0018952           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 01:06:12 	ERROR               	-0.39912            	ERROR               	0.001822            	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 01:07:12 	ERROR               	-0.39912            	ERROR               	0.001822            	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 01:08:12 	ERROR               	-0.39912            	ERROR               	0.0017488           	ERROR               	42.1375648          	ERROR               	-2.01253339         	ERROR               	0.81675             	2                   	1                   	1                   	599.75              
10/03/2023 01:09:12 	9                   	-0.3987784          	9                   	0.0017732           	9                   	42.1375648          	9                   	-1.98578328         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:10:13 	9                   	-0.3985588          	9                   	-0.0002764          	9                   	42.1375648          	17                  	32.0998007          	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:11:13 	9                   	-0.3985832          	9                   	-0.0266528          	9                   	42.1375648          	9                   	39.9673051          	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:12:13 	9                   	-0.3985832          	9                   	-0.0697432          	9                   	42.1375648          	9                   	39.9673051          	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:13:13 	9                   	-0.3985588          	9                   	-0.0807232          	9                   	42.1375648          	9                   	39.9673051          	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:14:13 	9                   	-0.3985832          	9                   	-0.0806256          	9                   	42.1375648          	9                   	39.9643329          	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:15:13 	9                   	-0.3987784          	9                   	-0.0801376          	9                   	42.1375648          	17                  	5.61124782          	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:16:13 	9                   	-0.3987784          	9                   	-0.005254           	9                   	42.1375648          	9                   	-15.0071421         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:17:13 	9                   	-0.3988272          	9                   	0.0095812           	9                   	42.1375648          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:18:13 	9                   	-0.3988272          	9                   	0.0200732           	9                   	42.1375648          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:19:13 	9                   	-0.3988272          	9                   	0.0204392           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:20:13 	9                   	-0.3988028          	9                   	0.0201708           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:21:13 	9                   	-0.3988272          	9                   	0.0198536           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:22:13 	9                   	-0.3988272          	9                   	0.0201952           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:23:13 	9                   	-0.3988272          	9                   	0.0199024           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:24:13 	9                   	-0.3988272          	9                   	0.0201708           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:25:13 	9                   	-0.3988028          	9                   	0.0204636           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:26:13 	9                   	-0.3988028          	9                   	0.0201952           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:27:13 	9                   	-0.3987784          	9                   	0.0202196           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:28:13 	9                   	-0.3988272          	9                   	0.0202684           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:29:13 	9                   	-0.3988028          	9                   	0.0200732           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:30:13 	9                   	-0.3988028          	9                   	0.020244            	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:31:14 	9                   	-0.3988272          	9                   	0.020366            	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:32:14 	9                   	-0.3988272          	9                   	0.0202196           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:33:14 	9                   	-0.3988028          	9                   	0.0203172           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:34:14 	9                   	-0.3988028          	9                   	0.0190484           	9                   	42.1375892          	9                   	-14.3413616         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:35:14 	9                   	-0.3988028          	9                   	0.0190728           	9                   	42.1375892          	9                   	-14.3413616         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:36:14 	9                   	-0.3987784          	9                   	0.018902            	9                   	42.1375892          	9                   	-14.3413616         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:37:14 	9                   	-0.3987784          	9                   	0.0190728           	9                   	42.1375892          	9                   	-13.6428866         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:38:14 	9                   	-0.3987784          	9                   	0.0193412           	9                   	42.1375892          	9                   	-13.6428866         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:39:14 	9                   	-0.3987784          	9                   	0.0189996           	9                   	42.1375892          	9                   	-13.6428866         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:40:14 	9                   	-0.3988028          	9                   	0.0190972           	9                   	42.1375892          	9                   	-13.6428866         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:41:14 	9                   	-0.3987784          	9                   	0.0160228           	9                   	42.1375892          	9                   	-12.9592726         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:42:14 	9                   	-0.3987784          	9                   	0.0157788           	9                   	42.1375892          	9                   	-12.9592726         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:43:14 	9                   	-0.398754           	9                   	0.0159496           	9                   	42.1375892          	9                   	-12.9592726         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:44:14 	9                   	-0.3987784          	9                   	0.0150956           	9                   	42.1375892          	9                   	-12.3232145         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:45:14 	9                   	-0.398754           	9                   	0.0151932           	9                   	42.1375892          	9                   	-12.3232145         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:46:14 	9                   	-0.398754           	9                   	0.0151932           	9                   	42.1375892          	9                   	-12.3232145         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:47:14 	9                   	-0.398754           	9                   	0.0152664           	9                   	42.1375892          	9                   	-12.3232145         	9                   	0.741375            	2                   	1                   	2                   	599.75              
10/03/2023 01:48:14 	9                   	-0.398754           	9                   	0.0139732           	9                   	42.1375892          	9                   	-11.6812119         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:49:14 	9                   	-0.398754           	9                   	0.0138268           	9                   	42.1375892          	9                   	-11.6812119         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:50:14 	9                   	-0.398754           	9                   	0.0140952           	9                   	42.1375892          	9                   	-11.6812119         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:51:14 	9                   	-0.398754           	9                   	0.0127288           	9                   	42.1375892          	9                   	-10.9678756         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:52:15 	9                   	-0.398754           	9                   	0.0127776           	9                   	42.1375892          	9                   	-10.9678756         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:53:15 	9                   	-0.3987296          	9                   	0.01268             	9                   	42.1375892          	9                   	-10.9678756         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:54:15 	9                   	-0.398754           	9                   	0.0112892           	9                   	42.1375892          	9                   	-10.9678756         	9                   	0.741375            	2                   	1                   	2                   	599.75              
10/03/2023 01:55:15 	9                   	-0.398754           	9                   	0.0117528           	9                   	42.1375892          	9                   	-10.2842617         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:56:15 	9                   	-0.3987296          	9                   	0.0114356           	9                   	42.1375892          	9                   	-10.2842617         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:57:15 	9                   	-0.3987052          	9                   	0.0116552           	9                   	42.1375892          	9                   	-10.2842617         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 01:58:15 	9                   	-0.3987296          	9                   	0.0101424           	9                   	42.1375892          	9                   	-9.60064779         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 01:59:15 	9                   	-0.3987052          	9                   	0.0103132           	9                   	42.1375892          	9                   	-9.60064779         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 02:00:15 	9                   	-0.3986564          	9                   	0.0101424           	9                   	42.1375892          	9                   	-9.60064779         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 02:01:15 	9                   	-0.3988516          	9                   	0.0194876           	9                   	42.1375892          	9                   	-15.0487534         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 02:02:15 	9                   	-0.398876           	9                   	0.0204148           	9                   	42.1375892          	9                   	-15.0487534         	9                   	0.741375            	2                   	1                   	1                   	599.75              
10/03/2023 02:03:15 	9                   	-0.3988272          	9                   	0.0201708           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:04:15 	9                   	-0.3988516          	9                   	0.0201952           	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:05:15 	9                   	-0.3988272          	9                   	0.020244            	9                   	42.1375892          	9                   	-15.0041699         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:06:15 	9                   	-0.3988028          	9                   	0.0189752           	9                   	42.1375892          	9                   	-14.3324449         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:07:15 	9                   	-0.3988028          	9                   	0.0191216           	9                   	42.1375892          	9                   	-14.3324449         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:08:15 	9                   	-0.3988028          	9                   	0.0190728           	9                   	42.1375892          	9                   	-14.3324449         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:09:16 	9                   	-0.3988028          	9                   	0.0178772           	9                   	42.1375892          	17                  	-14.2967781         	9                   	0.741375            	2                   	1                   	2                   	599.75              
10/03/2023 02:10:16 	9                   	-0.3987784          	9                   	0.0175356           	9                   	42.1375892          	9                   	-13.6518033         	9                   	0.741375            	2                   	1                   	3                   	599.75              
