Elapsed time [s]	Value [0,1E-05]
605.376	5.49253E-7
607.392	5.49163E-7
609.411	5.47010E-7
611.432	5.49103E-7
613.454	5.42424E-7
615.475	5.42249E-7
617.494	5.49079E-7
619.515	5.42182E-7
621.534	5.42121E-7
623.555	5.46405E-7
625.576	5.42104E-7
629.616	5.42163E-7
635.678	5.42227E-7
639.718	5.47588E-7
641.739	5.39813E-7
643.843	5.42269E-7
647.800	5.42192E-7
649.819	5.62861E-7
651.861	5.63245E-7
653.888	5.56509E-7
655.906	5.63155E-7
659.946	5.63000E-7
661.968	5.56115E-7
663.989	5.62924E-7
666.008	5.63363E-7
670.050	5.58192E-7
672.069	5.56129E-7
674.090	5.56195E-7
678.133	5.56123E-7
686.213	5.56052E-7
688.234	5.56108E-7
690.253	5.55533E-7
692.275	5.56139E-7
704.400	5.54737E-7
706.421	5.56165E-7
708.437	5.55982E-7
710.459	5.56109E-7
716.525	5.49240E-7
718.544	5.49136E-7
734.704	5.49233E-7
738.749	5.49100E-7
746.827	5.44417E-7
748.846	5.45812E-7
750.867	5.49149E-7
756.928	5.49215E-7
762.987	5.42329E-7
765.008	5.42230E-7
767.035	5.44090E-7
769.051	5.47720E-7
771.072	5.49108E-7
773.091	5.42395E-7
775.112	5.43379E-7
777.131	5.42182E-7
785.214	5.42324E-7
789.254	5.42249E-7
799.363	5.42140E-7
801.379	5.42195E-7
805.419	5.42136E-7
807.438	5.38282E-7
809.459	5.42104E-7
811.478	5.40501E-7
813.499	5.35473E-7
815.521	5.42195E-7
817.539	5.42307E-7
819.561	5.41361E-7
821.579	5.35502E-7
829.662	5.35402E-7
839.763	5.35487E-7
853.907	5.35542E-7
855.929	5.35459E-7
866.030	5.35388E-7
868.049	5.28657E-7
872.094	5.28929E-7
874.113	5.35304E-7
876.132	5.35503E-7
878.153	5.35176E-7
880.172	5.35440E-7
882.193	5.29554E-7
884.271	5.28704E-7
886.233	5.28613E-7
892.294	5.32483E-7
894.316	5.28654E-7
896.337	5.28588E-7
900.377	5.28663E-7
904.420	5.28726E-7
910.481	5.28652E-7
914.521	5.28721E-7
916.540	5.28574E-7
918.561	5.28668E-7
924.622	5.28611E-7
928.663	5.26061E-7
930.686	5.28670E-7
934.729	5.27846E-7
936.748	5.28695E-7
938.777	5.28760E-7
940.788	5.22379E-7
942.804	5.22045E-7
948.865	5.27575E-7
950.887	5.23604E-7
952.908	5.22041E-7
954.927	5.27958E-7
956.948	5.22018E-7
960.988	5.22096E-7
971.092	5.22022E-7
975.137	5.22111E-7
977.151	5.22009E-7
991.295	5.22074E-7
1003.418	5.15560E-7
1005.439	5.22080E-7
1007.458	5.20901E-7
1009.476	5.22013E-7
1017.567	5.17764E-7
1019.588	5.17342E-7
1021.607	5.15477E-7
1023.628	5.21929E-7
1025.647	5.22122E-7
1027.668	5.15532E-7
1029.687	5.21786E-7
1031.708	5.22037E-7
1033.727	5.15528E-7
1037.770	5.15462E-7
1039.791	5.17105E-7
1041.810	5.21989E-7
1043.831	5.22045E-7
1045.850	5.15421E-7
1055.954	5.15770E-7
1057.975	5.16910E-7
1059.994	5.21767E-7
1062.013	5.15467E-7
1064.034	5.15553E-7
1068.076	5.15425E-7
1076.157	5.15358E-7
1078.178	5.15440E-7
1088.279	5.15496E-7
1092.319	5.15422E-7
1094.346	5.15513E-7
1098.383	5.15446E-7
1110.503	5.15363E-7
1112.525	5.15502E-7
1122.626	5.09458E-7
1124.699	5.15533E-7
1130.709	5.15449E-7
1134.749	5.15384E-7
1138.791	5.09045E-7
1142.829	5.12183E-7
1144.850	5.15440E-7
1146.872	5.15502E-7
1148.893	5.14496E-7
1150.912	5.10655E-7
1152.933	5.09037E-7
1154.954	5.09123E-7
1158.994	5.09029E-7
1163.034	5.09988E-7
1165.056	5.12184E-7
1167.077	5.12515E-7
1169.096	5.09044E-7
1179.200	5.10715E-7
1181.218	5.09068E-7
1185.259	5.13525E-7
1187.280	5.09113E-7
1189.301	5.08996E-7
1191.320	5.11008E-7
1193.341	5.14980E-7
1195.363	5.08945E-7
1201.421	5.09001E-7
1205.464	5.13104E-7
1207.485	5.09066E-7
1211.525	5.10042E-7
1213.544	5.09055E-7
1217.587	5.09123E-7
1219.608	5.09049E-7
1221.627	5.15216E-7
1223.648	5.09015E-7
1225.669	5.08924E-7
1229.707	5.09014E-7
1241.830	5.08391E-7
1243.851	5.09046E-7
1245.872	5.07888E-7
1247.891	5.09040E-7
1251.931	5.08975E-7
1255.974	5.08856E-7
1260.014	5.09020E-7
1262.035	5.02622E-7
1264.056	5.09027E-7
1272.136	5.02542E-7
1274.158	5.08815E-7
1276.179	5.06552E-7
1278.198	5.02605E-7
1280.219	5.09084E-7
1282.238	5.04600E-7
1284.259	5.08721E-7
1286.280	5.08971E-7
1288.299	5.02518E-7
1290.323	5.07047E-7
1292.342	5.08179E-7
1294.363	5.03996E-7
1296.382	5.09034E-7
1298.406	5.04442E-7
1300.422	5.08590E-7
1304.464	5.02586E-7
1306.483	5.09090E-7
1308.520	5.02920E-7
1310.523	5.07322E-7
1312.547	5.09133E-7
1314.566	5.03092E-7
1316.587	5.02559E-7
1318.606	5.06190E-7
1320.627	5.02786E-7
1322.646	5.02544E-7
1324.670	5.08994E-7
1326.689	5.05622E-7
1328.707	5.02551E-7
1330.729	5.08979E-7
1332.750	5.02721E-7
1334.771	5.02556E-7
1338.809	5.05178E-7
1340.833	5.02639E-7
1342.851	5.08873E-7
1344.875	5.03514E-7
1346.891	5.02527E-7
1354.977	5.06351E-7
1356.993	5.02602E-7
1361.033	5.02498E-7
1365.127	5.02572E-7
1383.260	5.02501E-7
1391.340	5.02432E-7
1393.361	5.19919E-7
1395.382	6.78301E-7
1397.401	7.12792E-7
1399.422	6.86615E-7
1401.444	6.90061E-7
1403.465	6.89843E-7
1405.484	6.98262E-7
1407.505	6.90232E-7
1409.524	6.89796E-7
1413.566	6.91278E-7
1415.585	6.98394E-7
1419.628	6.98305E-7
1421.647	6.89809E-7
1423.668	6.89714E-7
1425.692	6.93872E-7
1427.713	6.89841E-7
1429.734	6.98441E-7
1437.809	6.91682E-7
1439.831	6.89809E-7
1443.873	6.98200E-7
1445.892	6.98388E-7
1451.953	6.89829E-7
1455.993	6.98231E-7
1458.015	6.90036E-7
1460.033	6.97447E-7
1462.057	6.98503E-7
1464.076	6.97411E-7
1466.095	6.95507E-7
1468.124	6.89770E-7
1470.148	6.89883E-7
1474.180	6.98359E-7
1476.199	6.98500E-7
1478.223	6.89763E-7
1480.241	6.89648E-7
1484.279	6.89799E-7
1490.340	6.95498E-7
1492.364	6.98507E-7
1496.402	6.89820E-7
1504.482	6.93977E-7
1506.506	6.90116E-7
1508.524	6.89773E-7
1510.543	6.89662E-7
1514.586	6.89765E-7
1520.647	6.98054E-7
1522.671	6.98494E-7
1524.690	6.89812E-7
1526.714	6.89703E-7
1530.751	6.89852E-7
1536.812	6.93277E-7
1538.831	6.89926E-7
1540.850	6.89788E-7
1542.874	6.89677E-7
1544.893	6.89746E-7
1548.940	6.90034E-7
1550.964	6.91209E-7
1552.983	6.89802E-7
1555.002	6.89703E-7
1559.044	6.89796E-7
1565.106	6.89907E-7
1569.148	6.92403E-7
1571.167	6.89733E-7
1583.290	6.89816E-7
1585.308	6.89698E-7
1591.370	6.89827E-7
1601.474	6.89757E-7
1605.558	6.89826E-7
1607.535	6.89728E-7
