Elapsed time [s]	Value [-1,361]
995.198	190.9120
997.349	139.4320
999.499	87.95200
1001.649	36.47200
1003.804	344.9920
1005.949	293.5120
1008.099	242.0320
1010.251	189.7600
1012.402	138.2800
1014.552	86.80000
1016.712	35.32000
1018.854	343.8400
1021.004	291.5680
1023.154	240.0880
1025.304	188.6080
1027.455	137.1280
1029.607	85.64800
1031.757	34.16800
1033.907	342.6880
1036.057	290.4160
1038.207	238.9360
1040.357	187.4560
1042.507	135.9760
1044.658	84.49600
1046.810	32.22400
1048.960	340.7440
1051.113	289.2640
1053.260	237.7840
1055.421	186.3040
1057.563	134.8240
1059.713	82.55200
1061.863	31.07200
1064.013	339.5920
1066.163	288.1120
1068.313	236.6320
1070.466	185.1520
1072.616	132.8800
1074.766	81.40000
1076.916	29.92000
1079.066	338.4400
1081.219	286.9600
1083.369	235.4800
1085.519	183.2080
1087.669	131.7280
1089.819	80.24800
1091.972	28.76800
1094.122	337.2880
1096.272	285.8080
1098.432	233.5360
1100.572	182.0560
1102.722	130.5760
1104.872	79.09600
1107.025	27.61600
1109.175	336.1360
1111.325	283.8640
1113.475	232.3840
1115.625	180.9040
1117.778	129.4240
1119.928	77.94400
1122.078	26.46400
1124.230	334.1920
1126.378	282.7120
1128.528	231.2320
1130.678	179.7520
1132.831	128.2720
1134.981	76.79200
1137.131	24.52000
1139.281	333.0400
1141.431	281.5600
1143.583	230.0800
1145.733	178.6000
1147.884	127.1200
1150.034	74.84800
1152.186	23.36800
1154.334	331.8880
1156.484	280.4080
1158.636	228.9280
1160.786	177.4480
1162.937	125.1760
1165.087	73.69600
1167.239	22.21600
1169.389	330.7360
1171.539	279.2560
1173.692	227.7760
1175.839	175.5040
1177.992	124.0240
1180.142	72.54400
1182.292	21.06400
1184.442	329.5840
1186.626	278.1040
1188.742	225.8320
1190.895	174.3520
1193.045	122.8720
1195.195	71.39200
1197.345	19.91200
1199.495	328.4320
1201.645	276.1600
1203.798	224.6800
1205.948	173.2000
1208.101	121.7200
1210.248	70.24000
1212.398	18.76000
1214.551	326.4880
1216.701	275.0080
1218.851	223.5280
1221.001	172.0480
1223.151	120.5680
1225.301	69.08800
1227.451	16.81600
1229.604	325.3360
1231.754	273.8560
1233.904	222.3760
1236.054	170.8960
1238.207	119.4160
1240.357	67.14400
1242.507	15.66400
1244.657	324.1840
1246.807	272.7040
1248.962	221.2240
1251.112	169.7440
1253.257	117.4720
1255.410	65.99200
1257.560	14.51200
1259.712	323.0320
1261.860	271.5520
1264.010	220.0720
1266.163	167.8000
1268.313	116.3200
1270.463	64.84000
1272.613	13.36000
1274.763	321.8800
1276.913	270.4000
1279.063	218.1280
1281.216	166.6480
1283.366	115.1680
1285.518	63.68800
1287.666	12.20800
1289.816	320.7280
1291.968	268.4560
1294.118	216.9760
1296.271	165.4960
1298.419	114.0160
1300.571	62.53600
1302.721	10.26400
1304.871	318.7840
1307.021	267.3040
1309.171	215.8240
1311.324	164.3440
1313.474	112.8640
1315.624	60.59200
1317.774	9.112000
1319.927	317.6320
1322.077	266.1520
1324.224	214.6720
1326.377	163.1920
1328.527	110.9200
1330.677	59.44000
1332.827	7.960000
1334.977	316.4800
1337.130	265.0000
1339.280	213.5200
1341.430	161.2480
1343.580	109.7680
1345.730	58.28800
1347.880	6.808000
1350.030	315.3280
1352.183	263.8480
1354.336	211.5760
1356.483	160.0960
1358.633	108.6160
1360.786	57.13600
1362.936	5.656000
1365.127	314.1760
1367.236	261.9040
1369.386	210.4240
1371.536	158.9440
1373.686	107.4640
1375.836	55.98400
1377.989	4.504000
1380.141	312.2320
1382.289	260.7520
1384.439	209.2720
1386.589	157.7920
1388.742	106.3120
1390.892	54.83200
1393.044	2.560000
1395.192	311.0800
1397.342	259.6000
1399.492	208.1200
1401.642	156.6400
1403.795	105.1600
1405.945	52.88800
1408.095	1.408000
1410.245	309.9280
1412.400	258.4480
1414.550	206.9680
1416.700	155.4880
1418.850	103.2160
1420.998	51.73600
1423.150	0.2560000
1425.300	308.7760
1427.450	257.2960
1429.600	205.8160
1431.753	153.5440
1433.906	102.0640
