Elapsed time [s]	Value [-1E+100,1E+100]
3062.947	1.990000
3086.055	1.980000
3088.156	1.990000
3123.865	1.980000
3125.966	1.990000
3128.067	1.980000
3130.178	1.990000
3142.770	1.980000
3144.871	1.990000
3163.781	1.980000
3165.877	1.990000
3188.985	1.980000
3191.086	1.990000
3212.092	1.980000
3216.289	1.990000
3243.599	1.980000
3245.700	1.990000
3252.003	1.980000
3254.104	1.990000
3273.009	1.980000
3279.308	1.990000
3315.017	1.980000
3317.118	1.990000
3331.826	1.980000
3336.023	1.990000
3340.225	1.980000
3342.336	1.990000
3382.237	1.980000
3384.339	1.990000
3405.345	1.980000
3407.441	1.990000
3409.542	1.980000
3411.643	1.990000
3438.953	1.980000
3441.054	1.990000
3459.943	1.980000
3462.050	1.990000
3472.545	1.980000
3474.646	1.990000
3499.850	1.980000
3501.951	1.990000
3510.355	1.980000
3512.456	1.990000
3543.968	1.980000
3546.069	1.990000
3554.469	1.980000
3556.570	1.990000
3564.974	1.980000
3567.076	1.990000
3577.581	1.980000
3579.677	1.990000
3581.778	1.980000
3583.880	1.990000
3594.385	1.980000
3596.486	1.990000
3600.683	1.980000
3602.785	1.990000
3615.391	1.980000
3617.493	1.990000
3625.892	1.980000
3630.094	1.990000
3648.999	1.980000
3651.111	1.990000
3665.803	1.980000
3667.904	1.990000
3678.405	1.980000
3682.607	1.990000
3691.012	1.980000
3693.108	1.990000
3695.209	1.980000
3697.310	1.990000
3699.411	1.980000
3703.613	1.990000
3707.816	1.980000
3709.917	1.990000
3726.721	1.980000
3728.822	1.990000
3741.423	1.980000
3743.525	1.990000
3766.632	1.980000
3768.733	1.990000
3798.139	1.980000
3800.240	1.990000
3804.442	1.980000
3806.543	1.990000
3812.841	1.980000
3817.044	1.990000
3825.448	1.980000
3827.555	1.990000
3844.353	1.980000
3848.550	1.990000
3888.462	1.980000
3890.563	1.990000
3892.664	1.980000
3894.765	1.990000
3907.377	1.980000
3909.478	1.990000
3911.579	1.980000
3913.680	1.990000
3938.884	1.980000
3943.086	1.990000
3953.592	1.980000
3955.693	1.990000
3982.997	1.980000
3985.098	1.990000
3995.604	1.980000
3997.700	1.990000
3999.806	1.980000
4006.105	1.990000
4010.307	1.980000
4012.408	1.990000
4039.713	1.980000
4043.915	1.990000
4050.218	1.980000
4052.319	1.990000
4067.022	1.980000
4069.123	1.990000
4071.224	1.980000
4073.326	1.990000
4088.028	1.980000
4090.130	1.990000
4092.225	1.980000
4094.332	1.990000
4100.630	1.980000
4102.731	1.990000
4125.839	1.980000
4127.940	1.990000
4148.941	1.980000
4153.148	1.990000
4157.345	1.980000
4159.446	1.990000
4161.548	1.980000
4163.649	1.990000
4167.851	1.980000
4169.947	1.990000
4172.048	1.980000
4174.149	1.990000
4203.560	1.980000
4205.661	1.990000
4239.279	1.980000
4241.380	1.990000
4243.481	1.980000
4245.583	1.990000
4283.388	1.980000
4285.489	1.990000
4312.798	1.980000
4314.899	1.990000
4319.102	1.980000
4321.203	1.990000
4338.033	1.980000
4340.108	1.990000
4342.204	1.980000
4346.406	1.990000
4348.507	1.980000
4350.608	1.990000
4354.811	1.980000
4359.013	1.990000
4377.918	1.980000
4380.019	1.990000
4386.317	1.980000
4388.419	1.990000
4403.121	1.980000
4405.223	1.990000
4411.526	1.980000
4415.728	1.990000
4430.431	1.980000
4432.532	1.990000
4449.336	1.980000
4453.538	1.990000
4459.837	1.980000
4461.938	1.990000
4485.045	1.980000
4487.146	1.990000
4514.456	1.980000
4516.557	1.990000
4520.759	1.980000
4524.956	1.990000
4531.260	1.980000
4533.361	1.990000
4564.868	1.980000
4571.171	1.990000
4587.975	1.980000
4590.076	1.990000
4606.880	1.980000
4608.981	1.990000
4627.886	1.980000
4629.987	1.990000
4644.690	1.980000
4648.892	1.990000
4672.000	1.980000
4676.197	1.990000
4709.810	1.980000
4711.911	1.990000
4718.209	1.980000
4720.310	1.990000
4751.822	1.980000
4756.019	1.990000
4760.222	1.980000
4762.323	1.990000
4768.626	1.980000
4770.727	1.990000
4774.925	1.980000
4779.127	1.990000
4789.632	1.980000
4791.728	1.990000
4793.830	1.980000
4795.931	1.990000
4825.341	1.980000
4827.443	1.990000
4835.842	1.980000
4837.943	1.990000
