Elapsed time [s]	Value [-1E+100,1E+100]
579.926	0.4167000
582.024	0.4172000
584.128	0.4177000
586.226	0.4184000
588.328	0.4190000
590.429	0.4192000
592.527	0.4200000
594.628	0.4203000
596.730	0.4207000
598.831	0.4215000
600.932	0.4218000
603.030	0.4222000
605.131	0.4228000
607.230	0.4233000
609.334	0.4236000
611.432	0.4246000
613.533	0.4252000
615.635	0.4257000
617.736	0.4261000
619.837	0.4264000
621.935	0.4268000
624.037	0.4276000
626.138	0.4281000
628.239	0.4285000
630.340	0.4290000
632.439	0.4294000
634.540	0.4302000
636.641	0.4304000
638.742	0.4312000
640.840	0.4317000
642.942	0.4323000
645.043	0.4328000
647.144	0.4330000
649.245	0.4335000
651.344	0.4340000
653.447	0.4344000
655.546	0.4351000
657.647	0.4356000
659.746	0.4361000
661.847	0.4368000
663.948	0.4373000
666.049	0.4375000
668.150	0.4382000
670.251	0.4386000
672.350	0.4391000
674.451	0.4397000
676.552	0.4401000
678.653	0.4407000
680.752	0.4412000
682.853	0.4417000
684.954	0.4422000
687.055	0.4427000
689.156	0.4432000
691.255	0.4438000
693.356	0.4441000
695.457	0.4446000
697.558	0.4451000
699.657	0.4458000
701.758	0.4461000
703.949	0.4467000
705.960	0.4470000
708.059	0.4474000
710.160	0.4481000
712.261	0.4485000
714.362	0.4490000
716.461	0.4497000
718.572	0.4500000
720.663	0.4507000
722.764	0.4509000
724.865	0.4513000
726.966	0.4521000
729.065	0.4523000
731.166	0.4531000
733.267	0.4536000
735.366	0.4541000
737.470	0.4546000
739.568	0.4550000
741.669	0.4557000
743.770	0.4561000
745.869	0.4566000
747.970	0.4569000
750.071	0.4574000
752.172	0.4580000
754.273	0.4586000
756.372	0.4588000
758.473	0.4593000
760.574	0.4600000
762.675	0.4606000
764.779	0.4613000
766.875	0.4618000
768.976	0.4622000
771.077	0.4627000
773.179	0.4631000
775.277	0.4634000
777.378	0.4639000
779.479	0.4646000
781.596	0.4648000
783.682	0.4656000
785.780	0.4660000
787.881	0.4666000
789.982	0.4668000
792.084	0.4673000
794.205	0.4680000
796.283	0.4684000
798.384	0.4690000
