Elapsed time [s]	Value [1E-13,.1]
871.669	5.28478E-7
873.680	5.35213E-7
875.694	5.37089E-7
877.705	5.35213E-7
881.724	5.28478E-7
883.735	5.29964E-7
885.746	5.28478E-7
891.777	5.35213E-7
893.788	5.29964E-7
895.799	5.28478E-7
899.821	5.29964E-7
901.832	5.28478E-7
903.843	5.29964E-7
907.862	5.28478E-7
921.934	5.29964E-7
923.945	5.28478E-7
940.023	5.21467E-7
942.037	5.23307E-7
944.045	5.21467E-7
946.056	5.23307E-7
948.067	5.28478E-7
950.081	5.29964E-7
952.092	5.21467E-7
956.121	5.23307E-7
958.132	5.21467E-7
962.152	5.23307E-7
964.163	5.21467E-7
966.174	5.23307E-7
968.185	5.21467E-7
976.229	5.23307E-7
980.251	5.21467E-7
982.259	5.23307E-7
988.293	5.21467E-7
994.323	5.23307E-7
996.334	5.21467E-7
1002.364	5.14916E-7
1004.378	5.21467E-7
1006.389	5.23307E-7
1010.409	5.21467E-7
1012.417	5.23307E-7
1014.431	5.21467E-7
1016.444	5.23307E-7
1018.455	5.14916E-7
1022.475	5.21467E-7
1024.486	5.23307E-7
1026.497	5.16365E-7
1028.510	5.18187E-7
1030.521	5.23307E-7
1032.532	5.16365E-7
1038.563	5.23307E-7
1040.574	5.21467E-7
1042.582	5.23307E-7
1044.593	5.16365E-7
1046.604	5.18187E-7
1048.615	5.14916E-7
1052.635	5.16365E-7
1056.659	5.21467E-7
1058.668	5.14916E-7
1062.690	5.16365E-7
1068.725	5.14916E-7
1074.756	5.16365E-7
1080.786	5.14916E-7
1084.819	5.16365E-7
1094.869	5.14916E-7
1096.880	5.16365E-7
1106.932	5.14916E-7
1108.943	5.13117E-7
1110.954	5.14916E-7
1112.965	5.16365E-7
1116.987	5.14916E-7
1121.009	5.16365E-7
1123.020	5.14916E-7
1127.042	5.16365E-7
1135.081	5.14916E-7
1137.092	5.16365E-7
1139.103	5.11313E-7
1141.112	5.09878E-7
1143.123	5.14916E-7
1145.134	5.16365E-7
1151.164	5.09878E-7
1157.194	5.08085E-7
1159.205	5.09878E-7
1161.216	5.14916E-7
1163.227	5.09878E-7
1165.239	5.14916E-7
1167.250	5.08085E-7
1169.261	5.09878E-7
1175.291	5.08085E-7
1177.299	5.11313E-7
1179.310	5.16365E-7
1181.319	5.09878E-7
1183.330	5.08085E-7
1185.341	5.14916E-7
1187.352	5.09878E-7
1191.371	5.16365E-7
1193.382	5.08085E-7
1203.432	5.09878E-7
1211.474	5.08085E-7
1213.485	5.09878E-7
1221.526	5.16365E-7
1223.540	5.09878E-7
1227.559	5.08085E-7
1235.603	5.09878E-7
1239.625	5.08085E-7
1241.636	5.09878E-7
1243.647	5.11313E-7
1245.661	5.09878E-7
1257.722	5.08085E-7
1259.733	5.09878E-7
1261.744	5.03114E-7
1263.755	5.08085E-7
1265.763	5.09878E-7
1271.796	5.01703E-7
1273.807	5.09878E-7
1277.829	5.03114E-7
1279.841	5.09878E-7
1281.852	5.08085E-7
1285.876	5.09878E-7
1287.887	5.03114E-7
1291.909	5.08085E-7
1293.918	5.01703E-7
1295.929	5.09878E-7
1297.937	5.08085E-7
1299.951	5.09878E-7
1303.975	5.03114E-7
1305.984	5.09878E-7
1307.995	5.03114E-7
1312.017	5.08085E-7
1314.025	5.01703E-7
1316.036	5.03114E-7
1322.067	5.01703E-7
1324.078	5.09878E-7
1328.100	5.03114E-7
1330.108	5.08085E-7
1332.119	5.03114E-7
1338.160	5.09878E-7
1340.171	5.03114E-7
1342.182	5.09878E-7
1344.190	5.08085E-7
1346.201	5.01703E-7
1348.212	5.03114E-7
1350.223	5.01703E-7
1354.243	5.08085E-7
1356.256	5.03114E-7
1358.265	5.01703E-7
1360.276	5.03114E-7
1366.306	5.01703E-7
1368.315	5.04890E-7
1370.326	5.03114E-7
1376.359	5.01703E-7
1378.367	5.03114E-7
1380.378	5.01703E-7
1382.389	5.03114E-7
1386.411	5.01703E-7
1388.420	5.03114E-7
1392.442	5.01703E-7
1394.463	6.15541E-7
1396.464	7.65362E-7
1398.475	6.72058E-7
1400.483	6.91699E-7
1404.521	6.98533E-7
1408.525	6.89758E-7
1414.566	6.98533E-7
1422.597	6.89758E-7
1426.616	6.91699E-7
1428.627	6.98533E-7
1438.677	6.91699E-7
1444.710	6.98533E-7
1450.741	6.89758E-7
1452.752	6.91699E-7
1454.763	6.94124E-7
1456.779	7.00998E-7
1458.785	6.91699E-7
1460.796	6.98533E-7
1466.836	6.91699E-7
1468.845	6.89758E-7
1472.867	6.91699E-7
1474.880	6.98533E-7
1476.889	6.89758E-7
1478.897	6.91699E-7
1480.911	6.89758E-7
1490.963	7.00998E-7
1492.977	6.98533E-7
1494.985	6.91699E-7
1496.999	6.89758E-7
1501.016	6.91699E-7
1505.038	6.98533E-7
1507.046	6.89758E-7
1517.104	6.91699E-7
1521.121	6.98533E-7
1525.143	6.89758E-7
1529.165	6.91699E-7
1533.187	6.89758E-7
1535.195	6.91699E-7
1537.204	7.00998E-7
1539.217	6.89758E-7
1543.239	6.91699E-7
1547.261	6.89758E-7
1549.270	7.00998E-7
1551.278	6.89758E-7
1561.331	6.91699E-7
1563.344	6.89758E-7
1565.353	6.91699E-7
1567.366	6.89758E-7
1571.388	6.91699E-7
1575.410	6.89758E-7
1577.419	6.91699E-7
1579.427	6.89758E-7
1583.449	6.91699E-7
1585.458	6.89758E-7
1591.499	6.91699E-7
1595.515	6.89758E-7
1599.538	6.91699E-7
1603.560	6.89758E-7
1611.604	6.98533E-7
1613.612	6.91699E-7
1617.634	6.89758E-7
1627.681	6.91699E-7
1629.695	6.89758E-7
1631.703	6.91699E-7
1635.725	6.89758E-7
1637.739	6.91699E-7
1643.769	6.89758E-7
1649.800	6.91699E-7
1651.808	6.89758E-7
1655.830	6.91699E-7
1657.839	6.89758E-7
1667.896	6.91699E-7
1669.905	6.89758E-7
1673.922	6.91699E-7
1675.935	6.89758E-7
1687.996	6.91699E-7
1690.005	7.40486E-7
1692.018	8.51622E-7
1694.027	8.65500E-7
1696.035	8.77136E-7
1698.049	8.91430E-7
1700.057	8.88315E-7
1702.071	8.91430E-7
1704.079	8.88315E-7
1708.101	8.91430E-7
1710.110	8.88315E-7
1712.123	8.91430E-7
1714.132	8.88315E-7
1716.151	8.91430E-7
1718.164	8.88315E-7
1728.211	8.91430E-7
1732.239	8.88315E-7
1738.269	8.91430E-7
1740.278	8.88315E-7
1746.308	8.91430E-7
1750.330	8.88315E-7
1760.382	8.91430E-7
1764.405	8.88315E-7
1766.413	8.91430E-7
1768.427	8.88315E-7
1778.479	8.91430E-7
1780.493	8.88315E-7
1802.601	8.91430E-7
1804.614	8.88315E-7
1812.653	8.85803E-7
1814.667	8.88315E-7
1822.706	8.91430E-7
1826.728	8.88315E-7
1830.750	8.91430E-7
1834.772	8.88315E-7
1836.780	8.91430E-7
1838.794	8.88315E-7
1844.830	8.91430E-7
1848.852	8.88315E-7
1858.904	8.91430E-7
1860.913	8.88315E-7
1866.948	9.00238E-7
1868.957	8.88315E-7
1883.026	8.91430E-7
1885.040	8.88315E-7
1889.056	8.91430E-7
1891.070	8.88315E-7
1895.087	8.91430E-7
1897.100	8.88315E-7
1909.161	8.91430E-7
1911.170	8.88315E-7
1921.222	8.91430E-7
1923.231	8.88315E-7
1933.283	8.85803E-7
1935.297	8.88315E-7
1937.305	8.85803E-7
1939.314	8.91430E-7
1943.341	8.88315E-7
1951.380	8.91430E-7
1953.393	8.88315E-7
1955.402	8.91430E-7
1959.424	8.88315E-7
1961.432	8.91430E-7
1965.454	8.88315E-7
1971.485	9.00238E-7
1973.498	8.88315E-7
1995.607	8.91430E-7
1999.629	9.00238E-7
2001.653	8.88315E-7
2007.673	8.91430E-7
2009.681	8.88315E-7
2015.712	9.00238E-7
2019.734	8.88315E-7
2023.756	8.91430E-7
2025.764	8.88315E-7
2029.786	8.91430E-7
2031.795	8.88315E-7
2033.808	8.91430E-7
2035.817	8.88315E-7
2037.825	8.91430E-7
2039.833	8.88315E-7
2047.878	8.91430E-7
2049.886	8.88315E-7
2053.908	8.91430E-7
2057.930	8.88315E-7
2059.938	8.91430E-7
2061.947	8.97092E-7
2063.960	8.88315E-7
2067.988	8.91430E-7
2069.991	8.88315E-7
2084.060	8.91430E-7
2086.069	8.88315E-7
2094.113	8.91430E-7
2096.126	8.88315E-7
2104.170	9.00238E-7
2106.179	8.91430E-7
2110.201	8.88315E-7
2114.223	8.91430E-7
2116.231	8.88315E-7
2120.253	9.00238E-7
2122.262	8.91430E-7
2124.275	8.88315E-7
2130.306	8.91430E-7
2134.328	8.88315E-7
2138.350	8.91430E-7
2140.358	8.88315E-7
2142.367	8.91430E-7
2144.380	8.88315E-7
2152.424	8.91430E-7
2156.446	8.88315E-7
2158.455	8.91430E-7
2160.463	8.88315E-7
2164.485	8.91430E-7
2166.499	8.88315E-7
2168.507	8.91430E-7
2170.516	8.88315E-7
2174.538	8.91430E-7
2178.560	8.88315E-7
2182.577	8.91430E-7
2184.596	8.88315E-7
2188.607	8.91430E-7
2190.621	8.88315E-7
2194.643	8.91430E-7
2196.651	9.00238E-7
2198.660	8.88315E-7
2202.682	8.91430E-7
2204.695	8.88315E-7
2206.704	8.91430E-7
2208.712	8.88315E-7
2212.739	8.91430E-7
2214.748	8.88315E-7
2218.770	8.91430E-7
2220.778	8.88315E-7
2230.831	8.91430E-7
2232.844	8.88315E-7
2238.875	8.91430E-7
2240.883	8.88315E-7
2254.958	8.91430E-7
2256.966	8.88315E-7
2267.019	8.91430E-7
2269.032	8.88315E-7
2271.041	8.91430E-7
2273.065	8.88315E-7
2279.095	8.91430E-7
2281.104	8.88315E-7
2285.126	8.91430E-7
2293.164	8.88315E-7
2327.339	8.91430E-7
2329.352	8.88315E-7
2341.413	8.91430E-7
2343.422	8.88315E-7
2357.496	8.85803E-7
2359.510	8.91430E-7
2363.532	8.88315E-7
2375.593	8.91430E-7
2379.615	8.88315E-7
2387.654	8.91430E-7
2393.689	8.85803E-7
2395.698	8.91430E-7
2397.706	8.79604E-7
2399.720	8.88315E-7
2413.794	8.77136E-7
2415.803	8.88315E-7
2419.825	8.91430E-7
2421.833	8.88315E-7
2429.877	8.91430E-7
2433.904	8.88315E-7
2458.021	8.77136E-7
2460.035	8.91430E-7
2462.043	8.88315E-7
2470.087	8.91430E-7
2472.096	8.79604E-7
2476.118	8.77136E-7
2478.126	8.91430E-7
2482.148	8.88315E-7
2488.199	8.79604E-7
2492.206	8.88315E-7
2496.223	8.91430E-7
2498.236	8.88315E-7
2500.245	8.91430E-7
2502.258	8.79604E-7
2504.267	8.88315E-7
2508.284	8.79604E-7
2510.297	8.91430E-7
2512.316	8.88315E-7
2514.319	8.85803E-7
2516.328	8.79604E-7
2518.341	8.77136E-7
2522.363	8.91430E-7
2528.394	8.88315E-7
2532.416	8.77136E-7
2534.424	8.88315E-7
2546.485	8.79604E-7
2548.499	8.77136E-7
2550.507	8.88315E-7
2552.521	8.77136E-7
2554.534	8.88315E-7
2562.573	8.77136E-7
2564.582	8.79604E-7
2566.595	8.88315E-7
2570.617	8.91430E-7
2572.626	8.88315E-7
2574.639	8.91430E-7
2576.648	8.79604E-7
2578.661	8.77136E-7
2580.670	8.91430E-7
2582.694	8.79604E-7
2584.692	8.88315E-7
2590.727	8.91430E-7
2592.736	8.77136E-7
2594.744	8.79604E-7
2596.753	8.77136E-7
2598.766	8.91430E-7
2600.775	8.88315E-7
2602.788	8.82708E-7
2604.797	8.88315E-7
2606.805	8.74072E-7
2608.814	8.77136E-7
2614.844	8.88315E-7
2620.880	8.77136E-7
2622.888	8.79604E-7
2624.897	8.77136E-7
2626.910	8.79604E-7
2628.919	8.88315E-7
2638.976	8.77136E-7
2642.993	8.91430E-7
2645.002	8.88315E-7
2651.037	8.77136E-7
2653.046	8.79604E-7
2655.059	8.88315E-7
2657.068	8.79604E-7
2661.090	8.91430E-7
2665.107	8.88315E-7
2667.120	8.74072E-7
2669.129	8.79604E-7
2671.137	8.88315E-7
2673.151	8.77136E-7
2675.159	8.91430E-7
2677.173	8.77136E-7
2679.181	8.85803E-7
2681.195	8.77136E-7
2683.203	8.79604E-7
2685.217	8.85803E-7
2689.239	8.88315E-7
2697.278	8.77136E-7
2701.300	8.91430E-7
2703.308	8.88315E-7
2707.330	8.91430E-7
2709.344	8.88315E-7
2711.352	8.91430E-7
2713.361	8.79604E-7
2715.374	8.77136E-7
2717.383	8.88315E-7
2727.445	8.77136E-7
2729.454	8.88315E-7
2733.476	8.77136E-7
2735.484	8.91430E-7
2739.522	8.88315E-7
2743.528	8.77136E-7
2745.542	8.88315E-7
2747.617	8.91430E-7
2751.572	8.88315E-7
2755.594	8.77136E-7
2763.639	8.88315E-7
2767.661	8.91430E-7
2769.669	8.88315E-7
2771.677	8.77136E-7
2775.699	8.85803E-7
2777.713	8.91430E-7
2781.730	8.88315E-7
2787.760	8.79604E-7
2789.774	8.77136E-7
2793.796	8.91430E-7
2795.804	8.88315E-7
2801.840	8.77136E-7
2803.864	8.79604E-7
2805.857	8.88315E-7
2807.871	8.77136E-7
2809.879	8.88315E-7
2817.923	8.79604E-7
2819.931	8.77136E-7
2821.940	8.91430E-7
2823.953	8.88315E-7
2827.975	8.79604E-7
2829.979	8.88315E-7
2831.992	8.79604E-7
2834.001	8.77136E-7
2840.031	8.88315E-7
2846.072	8.77136E-7
2848.086	8.79604E-7
2850.094	8.77136E-7
2854.116	8.88315E-7
2856.125	8.91430E-7
2862.160	8.77136E-7
2868.191	8.88315E-7
2870.199	8.91430E-7
2872.213	8.88315E-7
2876.235	8.77136E-7
2880.257	8.88315E-7
2882.270	8.77136E-7
2884.279	8.88315E-7
2892.323	8.79604E-7
2894.336	8.77136E-7
2896.345	8.79604E-7
2898.353	8.91430E-7
2902.375	8.77136E-7
2904.384	8.88315E-7
2908.406	8.79604E-7
2910.419	8.88315E-7
2912.428	8.77136E-7
2914.441	8.91430E-7
2916.450	8.88315E-7
2920.472	8.77136E-7
2926.507	8.82708E-7
2928.516	8.88315E-7
2930.529	8.91430E-7
2934.546	8.88315E-7
2938.568	8.77136E-7
2940.577	8.79604E-7
2942.590	8.88315E-7
2948.621	8.85803E-7
2950.650	8.79604E-7
2952.658	8.77136E-7
2954.656	8.88315E-7
2956.670	8.91430E-7
2958.678	8.77136E-7
2960.687	8.91430E-7
2962.700	8.88315E-7
2966.717	8.77136E-7
2974.772	8.88315E-7
2976.785	8.82708E-7
2978.794	8.88315E-7
2980.802	8.85803E-7
2982.811	8.79604E-7
2984.824	8.77136E-7
2986.833	8.79604E-7
2988.841	8.77136E-7
2990.855	8.88315E-7
2996.890	8.77136E-7
3002.931	8.88315E-7
3012.973	8.77136E-7
3014.982	8.79604E-7
3016.990	8.77136E-7
3019.004	8.88315E-7
3025.034	8.91430E-7
3027.048	8.77136E-7
3031.065	8.88315E-7
3033.078	8.79604E-7
3035.087	8.88315E-7
3039.104	8.91430E-7
3041.117	8.88315E-7
3043.126	8.79604E-7
3049.161	8.91430E-7
3051.170	8.88315E-7
3053.183	8.91430E-7
3057.205	8.74072E-7
3059.214	8.77136E-7
3061.227	8.91430E-7
3063.241	8.88315E-7
3065.249	8.91430E-7
3067.263	8.88315E-7
3071.285	8.77136E-7
3073.293	8.79604E-7
3075.307	8.77136E-7
3077.326	8.79604E-7
3079.329	8.88315E-7
3081.337	8.91430E-7
3085.359	8.88315E-7
3087.373	8.79604E-7
3089.381	8.77136E-7
3093.403	8.88315E-7
3101.448	8.77136E-7
3105.470	8.91430E-7
3107.478	8.77136E-7
3109.492	8.91430E-7
3117.530	8.77136E-7
3121.552	8.88315E-7
3127.588	8.79604E-7
3129.597	8.88315E-7
3133.619	8.79604E-7
3135.627	8.91430E-7
3137.641	8.77136E-7
3139.649	8.88315E-7
3145.685	8.77136E-7
3153.729	8.91430E-7
3155.737	8.88315E-7
3159.759	8.91430E-7
3161.768	8.88315E-7
3163.776	8.79604E-7
3165.790	8.77136E-7
3167.798	8.88315E-7
3171.820	8.91430E-7
3175.842	8.77136E-7
3177.851	8.79604E-7
3179.864	8.88315E-7
3181.873	8.79604E-7
3183.886	8.77136E-7
3185.895	8.88315E-7
3189.917	8.79604E-7
3191.935	8.77136E-7
3197.961	8.88315E-7
