Elapsed time [s]	Value [0,1E-05]
630.847	5.42265E-7
634.887	5.42208E-7
638.927	5.42407E-7
640.949	5.42189E-7
642.967	5.41511E-7
644.989	5.42196E-7
649.029	5.56195E-7
651.055	5.63289E-7
655.090	5.62813E-7
657.111	5.63271E-7
659.133	5.63338E-7
661.151	5.56266E-7
665.199	5.63351E-7
669.234	5.63274E-7
671.261	5.56060E-7
679.336	5.56129E-7
683.381	5.56203E-7
685.402	5.56096E-7
689.442	5.56205E-7
691.458	5.56079E-7
693.477	5.56215E-7
695.498	5.56153E-7
699.541	5.56018E-7
703.581	5.49708E-7
705.600	5.56110E-7
709.642	5.56013E-7
711.666	5.56133E-7
715.706	5.51566E-7
717.725	5.49178E-7
719.744	5.49238E-7
725.805	5.49139E-7
729.845	5.49022E-7
733.885	5.49144E-7
743.992	5.49220E-7
746.008	5.49130E-7
748.029	5.45939E-7
750.051	5.48975E-7
752.069	5.49238E-7
754.091	5.49183E-7
756.112	5.49121E-7
760.152	5.49055E-7
762.171	5.44926E-7
764.192	5.42162E-7
766.213	5.43275E-7
768.255	5.47907E-7
770.253	5.49167E-7
772.275	5.47182E-7
774.296	5.42278E-7
776.315	5.43961E-7
778.336	5.42248E-7
786.419	5.42158E-7
796.520	5.42214E-7
806.624	5.40982E-7
808.643	5.40130E-7
810.662	5.42269E-7
812.683	5.35567E-7
814.704	5.41942E-7
816.723	5.42158E-7
820.763	5.35933E-7
822.784	5.35387E-7
824.806	5.35450E-7
838.947	5.35569E-7
842.992	5.35492E-7
847.030	5.35425E-7
859.153	5.35508E-7
865.227	5.35435E-7
867.248	5.30365E-7
869.267	5.28729E-7
871.291	5.29363E-7
873.307	5.31155E-7
875.328	5.35472E-7
877.350	5.35290E-7
879.368	5.34809E-7
881.390	5.29725E-7
883.408	5.28647E-7
891.491	5.33549E-7
893.515	5.29051E-7
895.536	5.28693E-7
897.552	5.28632E-7
899.574	5.28699E-7
903.614	5.28640E-7
909.675	5.28581E-7
913.715	5.28647E-7
915.736	5.27806E-7
917.758	5.28709E-7
927.859	5.28641E-7
929.883	5.28528E-7
931.899	5.28758E-7
933.921	5.22686E-7
935.942	5.28498E-7
937.966	5.28640E-7
939.984	5.27374E-7
942.003	5.21981E-7
944.022	5.22067E-7
950.083	5.28646E-7
952.102	5.22115E-7
956.150	5.22246E-7
958.166	5.22065E-7
960.185	5.22148E-7
962.206	5.22090E-7
964.225	5.22021E-7
966.251	5.23340E-7
968.267	5.21964E-7
974.329	5.22089E-7
976.350	5.22034E-7
982.409	5.22104E-7
994.532	5.22050E-7
998.574	5.21997E-7
1002.614	5.15960E-7
1004.636	5.21900E-7
1006.654	5.22060E-7
1008.676	5.21873E-7
1010.699	5.22065E-7
1018.782	5.15531E-7
1020.796	5.15787E-7
1022.817	5.19374E-7
1024.838	5.22025E-7
1026.862	5.16496E-7
1030.905	5.21999E-7
1032.921	5.15457E-7
1036.961	5.15762E-7
1038.980	5.17086E-7
1041.001	5.21223E-7
1043.022	5.22100E-7
1045.044	5.15890E-7
1047.063	5.15460E-7
1051.103	5.15523E-7
1055.145	5.15440E-7
1057.164	5.19752E-7
1059.185	5.16155E-7
1061.204	5.15541E-7
1063.225	5.15419E-7
1073.327	5.15492E-7
1075.348	5.15420E-7
1079.388	5.15545E-7
1085.452	5.15488E-7
1089.495	5.15390E-7
1095.553	5.15453E-7
1103.634	5.15518E-7
1105.655	5.15450E-7
1109.695	5.13904E-7
1111.716	5.15537E-7
1119.799	5.15398E-7
1123.839	5.15031E-7
1125.860	5.15472E-7
1135.964	5.15417E-7
1137.980	5.10247E-7
1140.002	5.09050E-7
1144.042	5.15444E-7
1148.082	5.15498E-7
1150.103	5.15358E-7
1152.124	5.09004E-7
1156.164	5.10172E-7
1158.186	5.08999E-7
1162.226	5.09553E-7
1164.247	5.09119E-7
1166.266	5.15395E-7
1168.287	5.09104E-7
1178.389	5.15156E-7
1180.410	5.09365E-7
1182.431	5.08934E-7
1184.450	5.09018E-7
1186.471	5.09736E-7
1188.490	5.08990E-7
1192.533	5.15393E-7
1194.554	5.09081E-7
1196.573	5.08991E-7
1198.594	5.09081E-7
1204.655	5.13890E-7
1206.674	5.09093E-7
1210.717	5.15128E-7
1212.738	5.08972E-7
1214.757	5.08481E-7
1216.809	5.09043E-7
1220.818	5.10540E-7
1222.839	5.09241E-7
1224.858	5.08986E-7
1228.898	5.09071E-7
1239.002	5.09019E-7
1241.021	5.08918E-7
1245.064	5.08976E-7
1247.082	5.08641E-7
1249.104	5.08981E-7
1257.184	5.08021E-7
1259.205	5.09079E-7
1261.226	5.04570E-7
1263.248	5.08933E-7
1265.266	5.09082E-7
1271.328	5.03016E-7
1273.349	5.03887E-7
1275.368	5.08974E-7
1277.389	5.02552E-7
1279.408	5.08901E-7
1281.429	5.09045E-7
1283.453	5.04010E-7
1285.472	5.08963E-7
1287.491	5.03674E-7
1289.512	5.02567E-7
1291.533	5.09018E-7
1293.552	5.02636E-7
1295.573	5.09007E-7
1297.592	5.09111E-7
1299.613	5.02613E-7
1301.635	5.08984E-7
1303.656	5.02626E-7
1305.677	5.08720E-7
1307.696	5.08134E-7
1309.715	5.02535E-7
1311.736	5.09029E-7
1315.776	5.02544E-7
1317.797	5.03750E-7
1319.819	5.06905E-7
1321.840	5.02567E-7
1323.859	5.08489E-7
1325.880	5.09070E-7
1327.899	5.02663E-7
1329.920	5.08767E-7
1331.944	5.06899E-7
1333.960	5.02587E-7
1335.984	5.02506E-7
1338.000	5.05209E-7
1340.022	5.02533E-7
1342.043	5.04616E-7
1344.064	5.08991E-7
1346.083	5.02501E-7
1350.123	5.02577E-7
1354.166	5.02641E-7
1356.187	5.04260E-7
1358.206	5.02618E-7
1360.227	5.02539E-7
1364.267	5.02607E-7
1368.307	5.02535E-7
1388.512	5.02592E-7
1390.531	5.02511E-7
1394.574	6.00500E-7
1396.593	7.62128E-7
1398.616	6.68911E-7
1400.635	6.93693E-7
1402.654	6.89723E-7
1404.675	6.94258E-7
1406.694	6.96567E-7
1408.723	6.89741E-7
1414.777	6.98275E-7
1416.798	6.98421E-7
1420.838	6.94604E-7
1422.859	6.89721E-7
1424.878	6.91406E-7
1426.899	6.92105E-7
1428.923	6.98341E-7
1432.963	6.98428E-7
1434.985	6.98302E-7
1439.027	6.89741E-7
1443.065	6.94535E-7
1445.086	6.98444E-7
1449.131	6.99906E-7
1451.147	6.93366E-7
1453.169	6.89765E-7
1455.190	6.95221E-7
1457.209	6.95078E-7
1459.227	6.89861E-7
1461.249	6.98442E-7
1463.268	6.98513E-7
1465.291	6.98314E-7
1467.315	6.89695E-7
1471.353	6.89764E-7
1473.372	6.95713E-7
1475.390	6.98499E-7
1477.414	6.90367E-7
1479.433	6.89780E-7
1481.452	6.89711E-7
1483.476	6.89803E-7
1487.513	6.89878E-7
1489.532	6.89871E-7
1491.556	6.98484E-7
1495.598	6.90416E-7
1497.617	6.89708E-7
1505.697	6.96016E-7
1507.716	6.89784E-7
1509.740	6.89698E-7
1513.782	6.89840E-7
1519.839	6.92161E-7
1521.862	6.98578E-7
1523.881	6.92039E-7
1525.900	6.89768E-7
1527.924	6.89638E-7
1529.943	6.89717E-7
1536.004	6.91256E-7
1538.023	6.90847E-7
1540.047	6.89714E-7
1544.084	6.89814E-7
1550.145	6.98390E-7
1552.180	6.89858E-7
1556.232	6.89769E-7
1566.336	6.89900E-7
1568.355	6.97219E-7
1570.374	6.89661E-7
1574.417	6.89789E-7
1582.497	6.89867E-7
1586.539	6.89793E-7
1594.625	6.89704E-7
1602.705	6.89602E-7
1604.723	6.89724E-7
1612.803	6.98455E-7
1614.827	6.89701E-7
1618.865	6.89773E-7
1620.889	6.89845E-7
1628.969	6.89721E-7
1633.011	6.89577E-7
1635.030	6.89661E-7
1649.172	6.89792E-7
1663.318	6.89677E-7
1675.436	6.89570E-7
1677.465	6.89665E-7
1679.478	6.89737E-7
1689.582	7.03704E-7
1691.612	8.14135E-7
1693.625	8.64076E-7
1695.644	8.77173E-7
1697.663	8.88517E-7
1705.743	8.88365E-7
1709.785	8.88575E-7
1719.915	8.88452E-7
1723.927	8.88662E-7
1725.951	8.88566E-7
1727.975	8.88664E-7
1732.007	8.88564E-7
1736.049	8.88372E-7
1740.092	8.88482E-7
1754.234	8.88579E-7
1756.252	8.88486E-7
1762.314	8.88688E-7
1764.338	8.88566E-7
1770.399	8.88429E-7
1784.540	8.88566E-7
1786.559	8.88464E-7
1792.621	8.88633E-7
1802.730	8.88498E-7
1810.805	8.88384E-7
1814.847	8.88548E-7
1820.909	8.89726E-7
1822.927	8.88631E-7
1824.946	8.88444E-7
1828.989	8.88582E-7
1837.069	8.89895E-7
1839.093	8.88479E-7
1841.111	8.88343E-7
1845.154	8.88464E-7
1849.192	8.92346E-7
1851.215	8.89644E-7
1853.234	8.88579E-7
1855.253	8.88385E-7
1859.301	8.88516E-7
1861.319	8.88610E-7
1867.376	8.98818E-7
1869.399	8.88778E-7
1871.418	8.88490E-7
1885.560	8.88348E-7
1887.584	8.88453E-7
1891.626	8.88580E-7
1907.786	8.88446E-7
1915.872	8.88301E-7
1919.909	8.88408E-7
1925.970	8.91942E-7
1927.989	8.88514E-7
1932.032	8.88421E-7
1934.051	8.88654E-7
1938.093	8.88560E-7
1940.117	8.88984E-7
1942.136	8.88511E-7
1944.155	8.88617E-7
1946.178	8.88385E-7
1950.216	8.88479E-7
1964.357	8.88587E-7
1972.438	8.93966E-7
1974.456	8.88504E-7
1976.480	8.88395E-7
1978.499	8.88490E-7
1996.693	8.88579E-7
2000.731	8.99642E-7
2002.744	8.88617E-7
2004.763	8.88499E-7
2012.848	8.88379E-7
2016.886	8.99590E-7
2018.905	8.93585E-7
2020.928	8.88392E-7
2024.966	8.88525E-7
2045.174	8.88423E-7
2047.193	8.90450E-7
2049.216	8.88473E-7
2053.254	8.88376E-7
2055.278	8.88537E-7
2061.334	8.92288E-7
2063.358	8.88662E-7
2065.377	8.88435E-7
2067.395	8.88525E-7
2071.438	8.88628E-7
2075.481	8.89174E-7
2077.499	8.88537E-7
2079.518	8.88372E-7
2085.580	8.88602E-7
2087.603	8.88490E-7
2091.641	8.88595E-7
2093.660	8.88818E-7
2095.684	8.88527E-7
2099.726	8.88622E-7
2105.782	8.99791E-7
2107.806	8.88723E-7
2109.825	8.96206E-7
2111.849	8.88447E-7
2115.886	8.88585E-7
2119.929	8.98005E-7
2121.963	8.88575E-7
2125.990	8.88451E-7
2130.028	8.88548E-7
2136.089	8.88675E-7
2140.132	8.88456E-7
2154.278	8.88545E-7
2156.297	8.88452E-7
2160.340	8.88579E-7
2178.524	8.88436E-7
2188.623	8.88550E-7
2196.703	8.99313E-7
2198.727	8.88899E-7
2200.745	8.88554E-7
2204.788	8.88654E-7
2208.826	8.88491E-7
2227.015	8.88614E-7
2229.034	8.88512E-7
2235.095	8.88671E-7
2241.156	8.88565E-7
2245.194	8.88446E-7
2249.236	8.88542E-7
2265.397	8.88691E-7
2275.501	8.88498E-7
2289.652	8.88369E-7
2293.690	8.88574E-7
2299.746	8.88678E-7
2305.812	8.88565E-7
2307.831	8.88438E-7
2317.930	8.88543E-7
2323.991	8.87869E-7
2326.010	8.88619E-7
2338.138	8.88493E-7
2340.157	8.88609E-7
2342.176	8.88498E-7
2350.261	8.88385E-7
2354.298	8.88532E-7
2360.360	8.88643E-7
2366.421	8.88482E-7
2368.445	8.85755E-7
2370.464	8.88617E-7
2372.482	8.88524E-7
2380.568	8.88348E-7
2384.605	8.88501E-7
2398.747	8.83387E-7
2400.770	8.88620E-7
2406.832	8.88466E-7
2414.912	8.78657E-7
2416.931	8.88543E-7
2429.053	8.88664E-7
2437.133	8.88493E-7
2441.176	8.88367E-7
2447.237	8.88537E-7
2455.328	8.88443E-7
2457.352	8.78356E-7
2459.370	8.80563E-7
2461.394	8.88539E-7
2463.413	8.88076E-7
2465.432	8.88598E-7
2471.493	8.78813E-7
2473.512	8.77165E-7
2475.536	8.82832E-7
2477.555	8.78164E-7
2479.578	8.88420E-7
2489.682	8.77253E-7
2491.706	8.87961E-7
2493.720	8.88662E-7
2499.786	8.88492E-7
2501.800	8.79766E-7
2503.819	8.78745E-7
2505.843	8.88437E-7
2507.861	8.77382E-7
2509.885	8.88438E-7
2517.965	8.77198E-7
2519.984	8.77311E-7
2522.003	8.88500E-7
2524.022	8.88604E-7
2526.045	8.88492E-7
2532.107	8.79951E-7
2534.126	8.77222E-7
2536.149	8.86513E-7
2538.168	8.78502E-7
2540.187	8.88451E-7
2542.206	8.88545E-7
2546.253	8.79511E-7
2548.272	8.77201E-7
2550.291	8.88168E-7
2552.310	8.78996E-7
2554.328	8.88555E-7
2558.371	8.88667E-7
2560.390	8.88574E-7
2562.414	8.84746E-7
2564.432	8.77389E-7
2566.451	8.86324E-7
2568.475	8.87591E-7
2570.494	8.88546E-7
2578.605	8.77219E-7
2580.623	8.87588E-7
2582.642	8.77914E-7
2584.661	8.88477E-7
2588.704	8.88625E-7
2590.722	8.88509E-7
2592.746	8.78087E-7
2594.765	8.77394E-7
2596.784	8.81668E-7
2598.808	8.88217E-7
2600.837	8.88417E-7
2602.845	8.81280E-7
2604.869	8.88107E-7
2606.888	8.80162E-7
2608.917	8.77161E-7
2612.954	8.77595E-7
2614.973	8.88464E-7
2619.016	8.88637E-7
2621.029	8.77311E-7
2625.072	8.79422E-7
2627.090	8.77459E-7
2629.114	8.88490E-7
2633.152	8.87558E-7
2635.171	8.88414E-7
2637.194	8.87550E-7
2639.213	8.77241E-7
2643.256	8.87431E-7
2645.275	8.88601E-7
2647.293	8.88498E-7
2651.336	8.78491E-7
2653.355	8.77368E-7
2655.379	8.87955E-7
2657.397	8.78363E-7
2659.416	8.77360E-7
2661.440	8.88527E-7
2665.477	8.88359E-7
2667.501	8.77105E-7
2669.520	8.77234E-7
2671.539	8.78975E-7
2673.558	8.82431E-7
2675.581	8.88503E-7
2677.600	8.78721E-7
2679.624	8.88048E-7
2681.643	8.77796E-7
2683.661	8.77277E-7
2685.680	8.79248E-7
2687.709	8.85148E-7
2689.723	8.88209E-7
2691.742	8.88643E-7
2695.784	8.79280E-7
2697.808	8.77132E-7
2699.827	8.81367E-7
2701.846	8.82585E-7
2703.864	8.88210E-7
2705.888	8.88553E-7
2711.950	8.88444E-7
2713.973	8.77331E-7
2718.011	8.87788E-7
2720.030	8.88570E-7
2726.122	8.78484E-7
2728.110	8.77180E-7
2730.134	8.87778E-7
2732.152	8.80901E-7
2734.171	8.77178E-7
2736.195	8.88444E-7
2742.256	8.77707E-7
2744.275	8.77288E-7
2746.299	8.81378E-7
2748.318	8.88469E-7
2750.336	8.88633E-7
2752.360	8.82103E-7
2754.379	8.88501E-7
2756.398	8.77428E-7
2760.440	8.77190E-7
2764.483	8.86240E-7
2766.502	8.88525E-7
2770.544	8.78202E-7
2772.563	8.77149E-7
2774.582	8.77292E-7
2776.601	8.87289E-7
2780.643	8.88530E-7
2782.667	8.86010E-7
2784.686	8.88570E-7
2788.729	8.77363E-7
2790.747	8.77244E-7
2794.785	8.88371E-7
2796.809	8.88476E-7
2800.851	8.88374E-7
2802.870	8.77068E-7
2804.889	8.85155E-7
2806.907	8.83038E-7
2808.931	8.77258E-7
2810.950	8.88535E-7
2814.993	8.86758E-7
2817.017	8.79267E-7
2819.035	8.77376E-7
2823.073	8.78369E-7
2825.092	8.88453E-7
2827.115	8.88356E-7
2829.134	8.84436E-7
2831.153	8.78517E-7
2833.177	8.77120E-7
2835.196	8.86751E-7
2837.214	8.77263E-7
2839.269	8.87508E-7
2841.257	8.88532E-7
2845.294	8.81932E-7
2847.318	8.77225E-7
2849.337	8.80828E-7
2851.361	8.82079E-7
2853.380	8.84983E-7
2855.398	8.88515E-7
2857.422	8.88385E-7
2863.479	8.77199E-7
2869.545	8.88501E-7
2875.601	8.83100E-7
2877.625	8.77535E-7
2879.644	8.87755E-7
2881.663	8.88657E-7
2883.686	8.77373E-7
2885.705	8.88601E-7
2889.748	8.88416E-7
2891.767	8.84875E-7
2893.785	8.77129E-7
2895.809	8.77272E-7
2897.828	8.84197E-7
2899.847	8.88516E-7
2903.889	8.87852E-7
2905.908	8.88324E-7
2907.932	8.77311E-7
2913.993	8.80118E-7
2916.012	8.88654E-7
2920.055	8.88465E-7
2922.073	8.77208E-7
2930.153	8.88446E-7
2934.201	8.88247E-7
2936.215	8.88404E-7
2938.239	8.77265E-7
2942.276	8.80247E-7
2944.295	8.88594E-7
2946.319	8.88685E-7
2950.356	8.86861E-7
2952.380	8.77428E-7
2954.399	8.84611E-7
2956.418	8.88164E-7
2958.442	8.77219E-7
2960.460	8.88339E-7
2962.479	8.88523E-7
2966.522	8.77868E-7
2968.546	8.77278E-7
2974.602	8.88577E-7
2976.626	8.88670E-7
2978.644	8.87043E-7
2980.668	8.88616E-7
2982.687	8.77342E-7
2988.748	8.77166E-7
2990.767	8.88416E-7
2996.828	8.77071E-7
2998.847	8.77251E-7
3000.871	8.77719E-7
3002.895	8.78518E-7
3004.914	8.88508E-7
3008.951	8.87654E-7
3010.970	8.88512E-7
3012.989	8.77452E-7
3017.036	8.77348E-7
3019.055	8.84498E-7
3021.074	8.88542E-7
3025.117	8.88394E-7
3027.140	8.78369E-7
3029.159	8.77227E-7
3031.178	8.88469E-7
3033.197	8.77285E-7
3035.215	8.88309E-7
3037.239	8.88625E-7
3039.263	8.88525E-7
3041.277	8.87300E-7
3043.296	8.77277E-7
3049.372	8.88570E-7
3053.400	8.83975E-7
3055.418	8.88406E-7
3057.442	8.77141E-7
3059.461	8.77299E-7
3061.480	8.82569E-7
3063.503	8.85857E-7
3065.522	8.88498E-7
3071.584	8.77287E-7
3077.645	8.77532E-7
3079.664	8.88684E-7
3083.706	8.88587E-7
3085.725	8.88495E-7
3087.749	8.80344E-7
3089.768	8.77224E-7
3093.805	8.88287E-7
3095.829	8.88522E-7
3099.867	8.88393E-7
3101.890	8.77224E-7
3105.928	8.88406E-7
3107.952	8.77460E-7
3109.971	8.88476E-7
3111.989	8.88704E-7
3114.013	8.88957E-7
3116.032	8.88732E-7
3118.051	8.77392E-7
3122.093	8.87877E-7
3124.112	8.88664E-7
3128.155	8.83167E-7
3130.178	8.88325E-7
3132.202	8.79842E-7
3134.221	8.77472E-7
3136.235	8.87110E-7
3138.259	8.77501E-7
3140.277	8.88786E-7
3146.339	8.77734E-7
3148.357	8.77469E-7
3154.419	8.88704E-7
3162.499	8.80021E-7
3164.523	8.77399E-7
3168.565	8.88397E-7
3170.589	8.88773E-7
3176.646	8.77439E-7
3178.664	8.77543E-7
3180.683	8.88207E-7
3182.707	8.77690E-7
3184.726	8.83789E-7
3186.749	8.88825E-7
3190.787	8.82557E-7
3192.806	8.77358E-7
3194.824	8.77448E-7
