Elapsed time [s]	Numeric value	Description [GOTO,PREPARE_FOR_GET,EXCHANGE_GET,PREPARE_FOR_PUT,EXCHANGE_PUT,TRANSFER_COMPLETE,SCAN,PAUSE,RESUME,ABORT,RESET,NOOP]
0.000	11	NOOP
25.550	5	TRANSFER_COMPLETE
25.550	11	NOOP
4800.911	10	RESET
4800.911	11	NOOP
4800.921	1	PREPARE_FOR_GET
4800.921	11	NOOP
4836.671	2	EXCHANGE_GET
4836.671	11	NOOP
