Elapsed time [s]	Value [2E-11,1E-07]
0.000	4.98892E-7
3.783	5.00641E-7
5.783	5.02050E-7
7.874	5.00641E-7
9.813	5.02050E-7
26.002	5.00641E-7
28.033	5.03821E-7
30.062	5.02050E-7
32.109	5.00641E-7
36.188	5.02050E-7
38.250	5.00641E-7
44.296	4.98892E-7
46.500	5.00641E-7
48.439	4.98892E-7
52.438	4.97493E-7
56.455	4.95743E-7
58.579	4.97493E-7
60.516	4.95743E-7
66.564	4.94352E-7
74.673	4.92614E-7
78.736	4.90893E-7
80.829	4.92614E-7
82.845	4.89516E-7
84.813	4.90893E-7
86.860	4.87794E-7
