Elapsed time [s]	Value [-1E+06,1E+06]
0.000	-5.00000E-2
0.157	-4.00000E-2
2.235	-5.00000E-2
6.499	-3.00000E-2
8.799	-5.00000E-2
10.719	-4.00000E-2
12.875	-5.00000E-2
17.249	-4.00000E-2
19.284	-3.00000E-2
23.486	-6.00000E-2
25.610	-4.00000E-2
27.814	-5.00000E-2
29.923	-7.00000E-2
32.032	-2.00000E-2
34.187	-7.00000E-2
36.265	-2.00000E-2
38.361	-4.00000E-2
40.501	-6.00000E-2
42.798	-3.00000E-2
44.814	-2.00000E-2
49.142	-4.00000E-2
53.376	-1.00000E-2
55.469	-3.00000E-2
57.593	-2.00000E-2
59.594	-3.00000E-2
61.749	-4.00000E-2
63.922	-6.00000E-2
66.031	-2.00000E-2
68.251	0
70.267	-4.00000E-2
72.469	-3.00000E-2
76.704	-2.00000E-2
78.736	-1.00000E-2
80.829	-2.00000E-2
83.064	-1.00000E-2
85.158	-4.00000E-2
87.267	-2.00000E-2
89.468	-1.00000E-2
93.593	-4.00000E-2
