Elapsed time [s]	Value [-1E+06,1E+06]
0.000	23.18200
1.766	23.18700
5.984	23.19200
10.220	23.19600
12.532	23.19900
16.657	23.20300
18.874	23.20600
22.986	23.21100
27.204	23.21800
31.641	23.22300
35.845	23.22700
37.970	23.23000
42.206	23.23400
44.265	23.23700
48.532	23.24100
50.656	23.24600
54.874	23.25100
59.205	23.25600
63.516	23.26000
67.641	23.26500
71.876	23.26900
74.080	23.27400
78.406	23.27900
82.531	23.28300
86.860	23.28800
91.080	23.29200
93.189	23.29500
