# exported by xylib from a bruker_raw file
# AMPLIFIER_GAIN: 120
# DISCRIMINATOR_1_LOWER_LEVEL: 0.3
# GENERATOR_CURRENT: 30
# GENERATOR_VOLTAGE: 40
# HIGH_VOLTAGE: 727
# ROTATION_SPEED [rpm]: 0
# START_2THETA: 60
# START_THETA: 30
# STEPS: 3001
# STEP_SIZE: 0.006
# TIME_PER_STEP: 16.1061
# USED_LAMBDA: 1.5406
# column_1	column_2
60.000000	362.000000
60.006000	354.000000
60.012000	373.000000
60.018000	353.000000
60.024000	361.000000
60.030000	372.000000
60.036000	344.000000
60.042000	340.000000
60.048000	368.000000
60.054000	334.000000
60.060000	387.000000
60.066000	388.000000
60.072000	403.000000
60.078000	334.000000
60.084000	358.000000
60.090000	356.000000
60.096000	343.000000
60.102000	381.000000
60.108000	340.000000
60.114000	382.000000
60.120000	394.000000
60.126000	389.000000
60.132000	372.000000
60.138000	376.000000
60.144000	357.000000
60.150000	345.000000
60.156000	348.000000
60.162000	374.000000
60.168000	360.000000
60.174000	381.000000
60.180000	355.000000
60.186000	387.000000
60.192000	380.000000
60.198000	364.000000
60.204000	380.000000
60.210000	347.000000
60.216000	357.000000
60.222000	367.000000
60.228000	364.000000
60.234000	362.000000
60.240000	370.000000
60.246000	348.000000
60.252000	350.000000
60.258000	420.000000
60.264000	361.000000
60.270000	329.000000
60.276000	366.000000
60.282000	371.000000
60.288000	406.000000
60.294000	350.000000
60.300000	383.000000
60.306000	353.000000
60.312000	363.000000
60.318000	386.000000
60.324000	366.000000
60.330000	393.000000
60.336000	342.000000
60.342000	334.000000
60.348000	343.000000
60.354000	382.000000
60.360000	382.000000
60.366000	411.000000
60.372000	371.000000
60.378000	362.000000
60.384000	340.000000
60.390000	353.000000
60.396000	374.000000
60.402000	371.000000
60.408000	349.000000
60.414000	359.000000
60.420000	368.000000
60.426000	354.000000
60.432000	383.000000
60.438000	360.000000
60.444000	353.000000
60.450000	351.000000
60.456000	346.000000
60.462000	359.000000
60.468000	400.000000
60.474000	376.000000
60.480000	368.000000
60.486000	357.000000
60.492000	399.000000
60.498000	390.000000
60.504000	388.000000
60.510000	340.000000
60.516000	341.000000
60.522000	338.000000
60.528000	385.000000
60.534000	335.000000
60.540000	345.000000
60.546000	398.000000
60.552000	403.000000
60.558000	377.000000
60.564000	378.000000
60.570000	390.000000
60.576000	359.000000
60.582000	398.000000
60.588000	356.000000
60.594000	355.000000
60.600000	388.000000
60.606000	377.000000
60.612000	365.000000
60.618000	345.000000
60.624000	359.000000
60.630000	388.000000
60.636000	357.000000
60.642000	325.000000
60.648000	351.000000
60.654000	361.000000
60.660000	375.000000
60.666000	379.000000
60.672000	391.000000
60.678000	367.000000
60.684000	376.000000
60.690000	375.000000
60.696000	370.000000
60.702000	355.000000
60.708000	350.000000
60.714000	377.000000
60.720000	373.000000
60.726000	337.000000
60.732000	379.000000
60.738000	350.000000
60.744000	361.000000
60.750000	340.000000
60.756000	356.000000
60.762000	354.000000
60.768000	363.000000
60.774000	349.000000
60.780000	351.000000
60.786000	369.000000
60.792000	361.000000
60.798000	337.000000
60.804000	378.000000
60.810000	366.000000
60.816000	352.000000
60.822000	343.000000
60.828000	352.000000
60.834000	385.000000
60.840000	337.000000
60.846000	367.000000
60.852000	384.000000
60.858000	335.000000
60.864000	349.000000
60.870000	349.000000
60.876000	379.000000
60.882000	387.000000
60.888000	369.000000
60.894000	339.000000
60.900000	389.000000
60.906000	373.000000
60.912000	365.000000
60.918000	352.000000
60.924000	362.000000
60.930000	361.000000
60.936000	358.000000
60.942000	343.000000
60.948000	362.000000
60.954000	366.000000
60.960000	369.000000
60.966000	375.000000
60.972000	397.000000
60.978000	378.000000
60.984000	412.000000
60.990000	389.000000
60.996000	372.000000
61.002000	386.000000
61.008000	401.000000
61.014000	360.000000
61.020000	333.000000
61.026000	372.000000
61.032000	366.000000
61.038000	364.000000
61.044000	347.000000
61.050000	401.000000
61.056000	368.000000
61.062000	379.000000
61.068000	387.000000
61.074000	356.000000
