[Header]
TITLE,Bi-O-S_bestsample_Add.dat
BYAPP,HeatCapacity,3.8.6,1.7
INFO,,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.6 Build 1,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 12, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
28484063.69,,5905,1.90225,1.9001,0.174,9.4E-6,1.9134766,0.03205958,0,0,0.11965815,0.00117,0.11965815,0.00117,91.03561,0.067098309,0,100,,,1,,,,1.7833E-6,0.1336103,3.6613926,0,0
28484079.3,,5905,1.90218,1.8998,0.174,9.4E-6,1.9137259,0.03214921,0,0,0.11980728,0.0012,0.11980728,0.0012,84.132214,0.067333278,0,100,,,1,,,,1.7793E-6,0.1341966,3.6623467,0,0
28484097.59,,5905,1.90214,1.8997,0.174,9.3E-6,1.9135248,0.032187854,0,0,0.11965505,0.001163,0.11965505,0.001163,62.238268,0.066951044,0,100,,,1,,,,1.7872E-6,0.1346666,3.6615772,0,0
28484113.03,,5905,1.90213,1.901,0.174,9.3E-6,1.9136229,0.032091288,0,0,0.11974569,0.001371,0.11974569,0.001371,16.526164,0.067123315,0,100,,,1,,,,1.784E-6,0.1339021,3.6619526,0,0
28484128.47,,5905,1.90238,1.9008,0.174,9.3E-6,1.9138658,0.03212599,0,0,0.11974974,0.001242,0.11974974,0.001242,41.219909,0.067006173,0,100,,,1,,,,1.7871E-6,0.1342466,3.6628823,0,0
28484144.13,,5905,1.90205,1.9007,0.174,9.3E-6,1.9134039,0.032104819,0,0,0.11981049,0.001212,0.11981049,0.001212,37.950828,0.067082408,0,100,,,1,,,,1.786E-6,0.1340123,3.6611145,0,0
28484315.39,,5905,1.9995,2.0134,0.174,9.3E-6,2.0060635,0.032053501,0,0,0.13211931,0.001419,0.13211931,0.001419,71.074484,0.066938898,0,100,,,1,,,,1.9737E-6,0.1341648,4.0242909,0,0
28484330.72,,5905,1.99984,2.0124,0.174,9.4E-6,2.0064442,0.032068738,0,0,0.13189371,0.001375,0.13189371,0.001375,57.962955,0.066894427,0,100,,,1,,,,1.9717E-6,0.1338778,4.0258184,0,0
28484346.33,,5905,2.00033,2.0133,0.174,9.3E-6,2.0065139,0.032040299,0,0,0.13214952,0.001334,0.13214952,0.001334,79.640861,0.066957925,0,100,,,1,,,,1.9736E-6,0.1337889,4.0260979,0,0
28484361.69,,5905,1.99982,2.012,0.174,9.4E-6,2.0072816,0.032116309,0,0,0.13220158,0.001408,0.13220158,0.001408,162.49391,0.067314035,0,100,,,1,,,,1.964E-6,0.1339159,4.0291795,0,0
28484378.05,,5905,2.00024,2.0118,0.174,9.3E-6,2.0074281,0.03222522,0,0,0.13204723,0.001516,0.13204723,0.001516,19.749795,0.067168918,0,100,,,1,,,,1.9659E-6,0.1346281,4.0297676,0,0
