Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,27807215.48,2.00317965,10.001,10000,2.99843742287998,,0.0791831321466922,,,,,,,,,,25,1,0,-0.252096118239728,0.00110715802498802,4373,0,2.0011384,2.0052209,10.001,10.001,,1.97735,,,,,,,,,,,,,,,,,,,,,,,2.00317965
,27807249.95,1.9973741,10.001,10000,2.99843742287998,,0.0807229740133208,,,,,,,,,,25,1,0,-0.252735348161839,0.00110664274094846,4373,0,1.9970605,1.9976877,10.001,10.001,,1.9736,,,,,,,,,,,,,,,,,,,,,,,1.9973741
,27807286.42,1.99542695,10.001,10000,2.99843742287998,,0.0795976418754206,,,,,,,,,,25,1,0,-0.246442693186172,0.00110633557812488,4373,0,1.9934843,1.9973696,10.001,10.001,,1.97175,,,,,,,,,,,,,,,,,,,,,,,1.99542695
,27807322.66,1.99036275,10.001,10000,2.99843742287998,,0.0786734156895208,,,,,,,,,,25,1,0,-0.248020083151069,0.00110666214774995,4374,0,1.9864274,1.9942981,10.001,10.001,,1.96805,,,,,,,,,,,,,,,,,,,,,,,1.99036275
,27807512.03,2.078674475,10.001,10,3.00105063037942,,1.10659001783126E-6,3.16038542810871E-5,1.69000506059643E-6,3.16490082392013E-5,3.06095636271021,1.50803914856123E-8,5.02648449293669E-11,1.50804752549104E-8,0.190973345085009,320,25,5,13.4965986394558,-0.248020083151069,6.67832206464347E-5,4370,0,2.0460713,2.1068006,10.001,10.001,,2.05515,,,,,,,,,,,,,,,,,,,,,,,2.078674475
,27807561.57,2.2397551,10.001,10,3.00105063037942,,7.84824815939074E-7,3.66459107139667E-5,1.97608998057756E-6,3.66991512663081E-5,3.08662176186852,1.51527697374382E-8,2.28361228060158E-11,1.51527869451242E-8,0.0863480729485022,320,25,5,13.4965986394558,-0.248020083151069,6.65150052658459E-5,4370,0,2.2087207,2.2683835,10.001,10.001,,2.221825,,,,,,,,,,,,,,,,,,,,,,,2.2397551
,27807624.41,2.4487196625,10.001,10,3.00105063037942,,7.39634788217339E-7,4.12378999595244E-5,4.70329823591321E-7,4.12405819941317E-5,0.653446114452192,1.51282605971786E-8,4.12056378840235E-11,1.51283167140545E-8,0.156059137755231,320,25,5,13.4965986394558,-0.248020083151069,6.61247277958873E-5,4370,0,2.4165905,2.5010557,10.001,10.001,,2.435425,,,,,,,,,,,,,,,,,,,,,,,2.4487196625
,27807684.49,2.6438803,10.001,10,3.00105063037942,,1.02496102592969E-6,3.60887328861196E-5,-1.45771730601222E-6,3.61181613744379E-5,-2.31306737210946,1.5153615213844E-8,5.59218491099819E-11,1.51537183985467E-8,0.211439405480662,320,25,5,13.4965986394558,-0.248020083151069,6.63953522966611E-5,4370,0,2.6097648,2.6766138,10.001,10.001,,2.635025,,,,,,,,,,,,,,,,,,,,,,,2.6438803
,27807740.23,2.8632805375,10.001,10,3.00105063037942,,5.64192952273176E-7,3.84083535859578E-5,7.86635231871603E-7,3.84164082153964E-5,1.17330149043144,1.51762043151558E-8,8.47786123569394E-11,1.51764411120812E-8,0.320067261410554,320,25,5,13.4965986394558,-0.248020083151069,6.6409003977709E-5,4374,0,2.8201606,2.8995919,10.001,10.001,,2.789475,,,,,,,,,,,,,,,,,,,,,,,2.8632805375
,27807798.15,3.04285645,10.001,10,3.00105063037942,,8.39121997981927E-7,3.78766742588492E-5,-2.08233679030771E-6,3.79338711367458E-5,-3.14676849940378,1.51598945822743E-8,2.34353195596791E-11,1.51599126963143E-8,0.088572108824615,320,25,5,13.4965986394558,-0.248020083151069,6.63174574106817E-5,4370,0,3.0073304,3.072108,10.001,10.001,,2.983125,,,,,,,,,,,,,,,,,,,,,,,3.04285645
