Time Stamp (Seconds), System Temp (Kelvin), Field (Oersted), Pressure (Torr)
36034916.44, 7.9705, 0.131, 9.2E-6
36034934.22, 7.9714, 0.131, 9.2E-6
36034952.09, 7.974, 0.131, 9.4E-6
36034970, 7.9735, 0.131, 9.2E-6
36034987.83, 7.9752, 0.131, 9.3E-6
36035005.81, 7.975, 0.131, 9.4E-6
36035023.75, 7.9773, 0.131, 9.4E-6
36035174.13, 8.0663, 0.131, 9.4E-6
36035191.92, 8.0664, 0.131, 9.3E-6
36035209.8, 8.0692, 0.131, 9.3E-6
36035227.66, 8.0702, 0.131, 9.4E-6
36035245.67, 8.0727, 0.131, 9.3E-6
36035264.41, 8.0727, 0.131, 9.2E-6
36035282.25, 8.0728, 0.131, 9.4E-6
36035300.17, 8.077, 0.131, 9.4E-6
36035318.16, 8.0755, 0.131, 9.3E-6
36035335.94, 8.0783, 0.131, 9.4E-6
36035353.8, 8.0795, 0.131, 9.3E-6
36035371.63, 8.0801, 0.131, 9.3E-6
